S.No,District,State,Population,Growth,Sex-Ratio,Literacy
148,Maharajganj,Uttar Pradesh,2684703,0.235,943,62.76
149,Dhanbad,Jharkhand,2684487,0.1199,909,74.52
150,Tumkur,Karnataka,2678980,0.0365,984,75.14
151,Sikar,Rajasthan,2677333,0.1703,947,71.91
152,Bilaspur,Chhattisgarh,2663629,0.3329,971,70.78
153,Kollam,Kerala,2635375,0.0194,1113,94.09
154,Raigarh,Maharashtra,2634200,0.1931,959,83.14
155,Fatehpur,Uttar Pradesh,2632733,0.1405,901,67.43
156,Cuttack,Orissa,2624470,0.121,940,85.5
157,Cuddalore,Tamil Nadu,2605914,0.1402,987,78.04
158,Barmer,Rajasthan,2603751,0.3252,902,56.53
159,Buldana,Maharashtra,2586258,0.1585,934,83.4
160,Bid,Maharashtra,2585049,0.1961,916,76.99
161,Ajmer,Rajasthan,2583052,0.184,951,69.33
162,Gulbarga,Karnataka,2566326,0.1801,971,64.85
163,Gopalganj,Bihar,2562012,0.1902,1021,65.47
164,Siddharth Nagar,Uttar Pradesh,2559297,0.2545,976,59.25
165,Nizamabad,Andhra Pradesh,2551335,0.0877,1040,61.25
166,Bharatpur,Rajasthan,2548462,0.2129,880,70.11
167,Mathura,Uttar Pradesh,2547184,0.2278,863,70.36
168,West Delhi,Delhi,2543243,0.1946,875,86.98
169,Aurangabad,Bihar,2540073,0.2618,926,70.32
170,Kannur,Kerala,2523003,0.0473,1136,95.1
171,Mayurbhanj,Orissa,2519738,0.1333,1006,63.17
172,Firozabad,Uttar Pradesh,2498156,0.2169,875,71.92
173,Mirzapur,Uttar Pradesh,2496970,0.18,903,68.48
174,Amritsar,Punjab,2490656,0.1547,889,76.27
175,Tiruppur,Tamil Nadu,2479052,0.2911,989,78.68
176,Faizabad,Uttar Pradesh,2470996,0.1829,962,68.73
177,Tiruvannamalai,Tamil Nadu,2464875,0.1275,994,74.21
178,Basti,Uttar Pradesh,2464464,0.1821,963,67.22
179,Jabalpur,Madhya Pradesh,2463289,0.1451,929,81.07
180,Latur,Maharashtra,2454196,0.1797,928,77.26
181,Bellary,Karnataka,2452595,0.2099,983,67.43
182,Giridih,Jharkhand,2445474,0.2841,944,63.14
183,Sabarkantha,Gujarat,2428589,0.1662,952,75.79
184,Bhilwara,Rajasthan,2408523,0.196,973,61.37
185,Thanjavur,Tamil Nadu,2405890,0.0856,1035,82.64
186,Ambedkar Nagar,Uttar Pradesh,2397888,0.183,978,72.23
187,PanchMahal,Gujarat,2390776,0.1805,949,70.99
188,Sagar,Madhya Pradesh,2378458,0.1763,893,76.46
189,Bhopal,Madhya Pradesh,2371061,0.2862,918,80.37
190,Rewa,Madhya Pradesh,2365106,0.1986,931,71.62
191,Bikaner,Rajasthan,2363937,0.4119,905,65.13
192,Surguja,Chhattisgarh,2359886,0.1966,978,60.01
193,Vizianagaram,Andhra Pradesh,2344474,0.0423,1019,58.89
194,Rampur,Uttar Pradesh,2335819,0.2142,909,53.34
195,Baleshwar,Orissa,2320529,0.1462,957,79.79
196,Kheda,Gujarat,2299885,0.1362,940,82.65
197,Gurdaspur,Punjab,2298323,0.0926,895,79.95
198,Purbi Singhbhum,Jharkhand,2293919,0.1568,949,75.49
199,South West Delhi,Delhi,2292958,0.3065,840,88.28
200,Erode,Tamil Nadu,2251744,0.1166,993,72.58
201,Khordha,Orissa,2251673,0.1994,929,86.88
202,North East Delhi,Delhi,2241624,0.2678,886,83.09
203,Supaul,Bihar,2229076,0.2866,929,57.67
204,Satna,Madhya Pradesh,2228935,0.1919,926,72.26
205,Nawada,Bihar,2219146,0.2263,939,59.76
206,Mau,Uttar Pradesh,2205968,0.1898,979,73.09
207,Chandrapur,Maharashtra,2204307,0.0643,961,80.01
208,Jalandhar,Punjab,2193590,0.1176,915,82.48
209,Dhar,Madhya Pradesh,2185793,0.256,964,59
210,Bijapur,Karnataka,2177331,0.205,960,67.15
211,Jamnagar,Gujarat,2160119,0.1344,939,73.65
212,Dindigul,Tamil Nadu,2159775,0.1231,998,76.26
213,Balrampur,Uttar Pradesh,2148665,0.2772,928,49.51
214,Jhunjhunun,Rajasthan,2137045,0.1167,950,74.13
215,Alappuzha,Kerala,2127789,0.0088,1100,95.72
216,Dohad,Gujarat,2127086,0.2998,990,58.82
217,Sundargarh,Orissa,2093437,0.1435,973,73.34
218,Anand,Gujarat,2092745,0.127,925,84.37
219,Kachchh,Gujarat,2092371,0.3216,908,70.59
220,Chhindwara,Madhya Pradesh,2090922,0.1307,964,71.16
221,Dakshina Kannada,Karnataka,2089649,0.1011,1020,88.57
222,Bokaro,Jharkhand,2062330,0.1601,922,72.01
223,Dhule,Maharashtra,2050862,0.2008,946,72.8
224,Churu,Rajasthan,2039547,0.0601,940,66.75
225,Pali,Rajasthan,2037573,0.1194,987,62.39
226,Mahesana,Gujarat,2035064,0.1073,926,83.61
227,Banka,Bihar,2034763,0.2648,907,58.17
228,Gwalior,Madhya Pradesh,2032036,0.245,864,76.65
229,Pilibhit,Uttar Pradesh,2031007,0.2345,895,61.47
230,Firozpur,Punjab,2029074,0.1621,893,68.92
231,Madhepura,Bihar,2001762,0.3112,911,52.25
232,Jhansi,Uttar Pradesh,1998603,0.1454,890,75.05
233,Ujjain,Madhya Pradesh,1986864,0.1612,955,72.34
234,Kottayam,Kerala,1974551,0.0107,1039,97.21
235,Ganganagar,Rajasthan,1969168,0.1004,887,69.64
236,Morena,Madhya Pradesh,1965970,0.2344,840,71.03
237,Jalna,Maharashtra,1959046,0.2146,937,71.52
238,Chandauli,Uttar Pradesh,1952756,0.1883,918,71.48
239,Kota,Rajasthan,1951014,0.2439,911,76.56
240,Dhubri,Assam,1949258,0.2444,953,58.34
241,Davanagere,Karnataka,1945497,0.0863,972,75.74
242,Virudhunagar,Tamil Nadu,1942288,0.1091,1007,80.15
243,Palamu,Jharkhand,1939869,0.2617,928,63.63
244,Raichur,Karnataka,1928812,0.1551,1000,59.56
245,Sonitpur,Assam,1924110,0.1555,956,67.34
246,Saharsa,Bihar,1900661,0.2602,906,53.2
247,Patiala,Punjab,1895686,0.1962,891,75.28
248,Haridwar,Uttarakhand,1890422,0.3063,880,73.43
249,Bagalkot,Karnataka,1889752,0.144,989,68.82
250,Farrukhabad,Uttar Pradesh,1885204,0.2005,874,69.04
251,Krishnagiri,Tamil Nadu,1879809,0.2041,958,71.46
252,West Nimar,Madhya Pradesh,1873046,0.2285,965,62.7
253,Kanniyakumari,Tamil Nadu,1870374,0.116,1019,91.75
254,Mainpuri,Uttar Pradesh,1868529,0.1702,881,75.99
255,Sonbhadra,Uttar Pradesh,1862559,0.2727,918,64.03
256,Dharwad,Karnataka,1847023,0.1513,971,80
257,Darjiling,West Bengal,1846823,0.1477,970,79.56
258,Jyotiba Phule Nagar,Uttar Pradesh,1840221,0.2276,910,63.84
259,Parbhani,Maharashtra,1836086,0.2019,947,73.34
260,Jalor,Rajasthan,1828730,0.2621,952,54.86
261,Jajapur,Orissa,1827192,0.1249,973,80.13
262,Akola,Maharashtra,1813906,0.1127,946,88.05
263,Faridabad,Haryana,1809733,0.3254,873,81.7
264,Mandya,Karnataka,1805769,0.0238,995,70.4
265,Kendujhar,Orissa,1801733,0.1535,988,68.24
266,Banda,Uttar Pradesh,1799410,0.1705,863,66.67
267,Banswara,Rajasthan,1797485,0.2653,980,56.33
268,Ramabai Nagar,Uttar Pradesh,1796184,0.1489,865,75.78
269,Hassan,Karnataka,1776421,0.0318,1010,76.07
270,Hanumangarh,Rajasthan,1774692,0.1691,906,67.13
271,Etah,Uttar Pradesh,1774480,0.1362,873,70.81
272,Chhattarpur,Madhya Pradesh,1762375,0.1951,883,63.74
273,Jamui,Bihar,1760405,0.2585,922,59.79
274,Surendranagar,Gujarat,1756268,0.1591,930,72.13
275,Shimoga,Karnataka,1752753,0.0671,998,80.45
276,Thoothukkudi,Tamil Nadu,1750176,0.1132,1023,86.16
277,Hisar,Haryana,1743931,0.1345,872,72.89
278,Cachar,Assam,1736617,0.2019,959,79.34
279,Hazaribagh,Jharkhand,1734495,0.2065,947,69.75
280,Namakkal,Tamil Nadu,1726601,0.1561,986,74.63
281,Shivpuri,Madhya Pradesh,1726050,0.2276,877,62.55
282,West Tripura,Tripura,1725739,0.1257,962,88.69
283,Sant Kabir Nagar,Uttar Pradesh,1715183,0.2077,972,66.72
284,East Delhi,Delhi,1709346,0.1679,884,89.31
285,Buxar,Bihar,1706352,0.2167,922,70.14
286,Valsad,Gujarat,1705678,0.2092,922,78.55
287,Bidar,Karnataka,1703300,0.1337,956,70.51
288,Bhind,Madhya Pradesh,1703005,0.1921,837,75.26
289,Balaghat,Madhya Pradesh,1701698,0.136,1021,77.09
290,Puri,Orissa,1698730,0.1305,963,84.67
291,Dehradun,Uttarakhand,1696694,0.3233,902,84.25
292,Barpeta,Assam,1693622,0.2143,953,63.81
293,Kishanganj,Bihar,1690400,0.304,950,55.46
294,Jalaun,Uttar Pradesh,1689974,0.1619,865,73.75
295,Dakshin Dinajpur,West Bengal,1676276,0.1152,956,72.82
296,Khagaria,Bihar,1666886,0.3019,886,57.92
297,Chitradurga,Karnataka,1659456,0.0933,974,73.71
298,Osmanabad,Maharashtra,1657576,0.115,924,78.44
299,Kannauj,Uttar Pradesh,1656616,0.1927,879,72.7
300,Sangrur,Punjab,1655169,0.1235,885,67.99
301,Balangir,Orissa,1648997,0.2332,987,64.72
